date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:25:48	4452/4452	---M--	200	added ('OK')	font/woff2	date:Thu,%2020%20Aug%202026%2012:25:40%20GMT	https://arianaadrian.katsudoto.id/cf-fonts/v/roboto/5.2.10/greek-ext/wght/italic.woff2	D:/Undangan-new/arianaadrian.katsudoto.id/cf-fonts/v/roboto/5.2.10/greek-ext/wght/italic.woff2	(from https://arianaadrian.katsudoto.id/821963?mode=DREAMBOARD)
19:25:48	22440/22440	---M--	200	added ('OK')	font/woff2	date:Thu,%2020%20Aug%202026%2012:25:40%20GMT	https://arianaadrian.katsudoto.id/cf-fonts/v/roboto/5.2.10/symbols/wght/italic.woff2	D:/Undangan-new/arianaadrian.katsudoto.id/cf-fonts/v/roboto/5.2.10/symbols/wght/italic.woff2	(from https://arianaadrian.katsudoto.id/821963?mode=DREAMBOARD)
19:25:48	25464/25464	---M--	200	added ('OK')	font/woff2	date:Thu,%2020%20Aug%202026%2012:25:40%20GMT	https://arianaadrian.katsudoto.id/cf-fonts/v/roboto/5.2.10/cyrillic/wght/italic.woff2	D:/Undangan-new/arianaadrian.katsudoto.id/cf-fonts/v/roboto/5.2.10/cyrillic/wght/italic.woff2	(from https://arianaadrian.katsudoto.id/821963?mode=DREAMBOARD)
19:25:48	40480/40480	---M--	200	added ('OK')	font/woff2	date:Thu,%2020%20Aug%202026%2012:25:41%20GMT	https://arianaadrian.katsudoto.id/cf-fonts/v/roboto/5.2.10/cyrillic-ext/wght/italic.woff2	D:/Undangan-new/arianaadrian.katsudoto.id/cf-fonts/v/roboto/5.2.10/cyrillic-ext/wght/italic.woff2	(from https://arianaadrian.katsudoto.id/821963?mode=DREAMBOARD)
19:25:48	18780/18780	---M--	200	added ('OK')	font/woff2	date:Thu,%2020%20Aug%202026%2012:25:41%20GMT	https://arianaadrian.katsudoto.id/cf-fonts/v/roboto/5.2.10/greek/wght/italic.woff2	D:/Undangan-new/arianaadrian.katsudoto.id/cf-fonts/v/roboto/5.2.10/greek/wght/italic.woff2	(from https://arianaadrian.katsudoto.id/821963?mode=DREAMBOARD)
19:25:49	45184/45184	---M--	200	added ('OK')	font/woff2	date:Thu,%2020%20Aug%202026%2012:25:41%20GMT	https://arianaadrian.katsudoto.id/cf-fonts/v/roboto/5.2.10/math/wght/italic.woff2	D:/Undangan-new/arianaadrian.katsudoto.id/cf-fonts/v/roboto/5.2.10/math/wght/italic.woff2	(from https://arianaadrian.katsudoto.id/821963?mode=DREAMBOARD)
19:25:49	47208/47208	---M--	200	added ('OK')	font/woff2	date:Thu,%2020%20Aug%202026%2012:25:41%20GMT	https://arianaadrian.katsudoto.id/cf-fonts/v/roboto/5.2.10/latin/wght/italic.woff2	D:/Undangan-new/arianaadrian.katsudoto.id/cf-fonts/v/roboto/5.2.10/latin/wght/italic.woff2	(from https://arianaadrian.katsudoto.id/821963?mode=DREAMBOARD)
19:25:49	31820/31820	---M--	200	added ('OK')	font/woff2	date:Thu,%2020%20Aug%202026%2012:25:42%20GMT	https://arianaadrian.katsudoto.id/cf-fonts/v/roboto/5.2.10/latin-ext/wght/italic.woff2	D:/Undangan-new/arianaadrian.katsudoto.id/cf-fonts/v/roboto/5.2.10/latin-ext/wght/italic.woff2	(from https://arianaadrian.katsudoto.id/821963?mode=DREAMBOARD)
19:25:49	15344/15344	---M--	200	added ('OK')	font/woff2	date:Thu,%2020%20Aug%202026%2012:25:42%20GMT	https://arianaadrian.katsudoto.id/cf-fonts/v/roboto/5.2.10/vietnamese/wght/italic.woff2	D:/Undangan-new/arianaadrian.katsudoto.id/cf-fonts/v/roboto/5.2.10/vietnamese/wght/italic.woff2	(from https://arianaadrian.katsudoto.id/821963?mode=DREAMBOARD)
19:25:50	8176/8176	---M-Z	200	added ('OK')	text/css	date:Thu,%2005%20Jun%202025%2013:22:40%20GMT	https://arianaadrian.katsudoto.id/plugin/selectize/dist/css/selectize.default.css	D:/Undangan-new/arianaadrian.katsudoto.id/plugin/selectize/dist/css/selectize.default.css	(from https://arianaadrian.katsudoto.id/821963?mode=DREAMBOARD)
